#name	group
NC_031093	Mononegavirales
NC_025359	Mononegavirales
NC_002549	Mononegavirales
NC_025347	Mononegavirales
NC_025354	Mononegavirales
NC_005093	Mononegavirales
NC_028362	Mononegavirales
NC_030687	Mononegavirales
NC_001652	Mononegavirales
NC_025361	Mononegavirales
NC_013135	Mononegavirales
NC_024702	Mononegavirales
NC_028246	Mononegavirales
NC_001803	Mononegavirales
NC_028261	unclassified__ssRNA__negative-strand__viruses
NC_025382	Mononegavirales
NC_034531	Mononegavirales
NC_019531	Mononegavirales
NC_020805	Mononegavirales
NC_005974	Mononegavirales
NC_024781	Mononegavirales
NC_028232	Mononegavirales
NC_031304	unclassified__ssRNA__negative-strand__viruses
NC_006383	Mononegavirales
NC_031088	Mononegavirales
NC_034537	Mononegavirales
NC_034449	Mononegavirales
NC_034542	Mononegavirales
NC_034443	Mononegavirales
NC_025358	Mononegavirales
NC_031690	Mononegavirales
NC_028233	Mononegavirales
NC_001989	Mononegavirales
NC_007652	Mononegavirales
NC_025401	Mononegavirales
NC_025364	Mononegavirales
NC_034539	Mononegavirales
NC_025365	Mononegavirales
NC_031275	Mononegavirales
NC_003043	Mononegavirales
NC_002251	Mononegavirales
NC_030451	Mononegavirales
NC_022581	Mononegavirales
NC_031214	unclassified__ssRNA__negative-strand__viruses
NC_025345	Mononegavirales
NC_031276	Mononegavirales
NC_034240	Mononegavirales
NC_002200	Mononegavirales
NC_017685	Mononegavirales
NC_026732	Mononegavirales
NC_025344	Mononegavirales
NC_001607	Mononegavirales
NC_025383	Mononegavirales
NC_001781	Mononegavirales
NC_025356	Mononegavirales
NC_025341	Mononegavirales
NC_001498	Mononegavirales
NC_002803	Mononegavirales
NC_025351	Mononegavirales
NC_025251	Mononegavirales
NC_025256	Mononegavirales
NC_003443	Mononegavirales
NC_006429	Mononegavirales
NC_025400	Mononegavirales
NC_017937	Mononegavirales
NC_028264	unclassified__ssRNA__negative-strand__viruses
NC_007620	Mononegavirales
NC_004161	Mononegavirales
NC_013955	Mononegavirales
NC_025352	Mononegavirales
NC_031240	Mononegavirales
NC_028249	Mononegavirales
NC_034541	Mononegavirales
NC_004148	Mononegavirales
NC_005975	Mononegavirales
NC_025389	Mononegavirales
NC_005283	Mononegavirales
NC_028237	Mononegavirales
NC_025404	Mononegavirales
NC_011558	Mononegavirales
NC_031272	Mononegavirales
NC_030690	Mononegavirales
NC_005339	Mononegavirales
NC_028106	Mononegavirales
NC_028243	Mononegavirales
NC_009528	Mononegavirales
NC_034447	Mononegavirales
NC_025395	Mononegavirales
NC_004074	Mononegavirales
NC_030688	Mononegavirales
NC_034538	Mononegavirales
NC_025408	Mononegavirales
NC_031259	Mononegavirales
NC_028259	unclassified__ssRNA__negative-strand__viruses
NC_030885	Mononegavirales
NC_025385	Mononegavirales
NC_034548	Mononegavirales
NC_028263	unclassified__ssRNA__negative-strand__viruses
NC_025264	Mononegavirales
NC_025378	Mononegavirales
NC_022580	Mononegavirales
NC_034454	Mononegavirales
NC_025396	Mononegavirales
NC_034529	Mononegavirales
NC_034450	Mononegavirales
NC_003746	Mononegavirales
NC_030692	Mononegavirales
NC_034534	Mononegavirales
NC_018381	Mononegavirales
NC_020804	Mononegavirales
NC_028245	Mononegavirales
NC_031225	Mononegavirales
NC_031244	Mononegavirales
NC_028265	unclassified__ssRNA__negative-strand__viruses
NC_031227	Mononegavirales
NC_025343	Mononegavirales
NC_006430	Mononegavirales
NC_012702	Mononegavirales
NC_025255	Mononegavirales
NC_025342	Mononegavirales
NC_031248	unclassified__ssRNA__negative-strand__viruses
NC_025340	Mononegavirales
NC_008514	Mononegavirales
NC_006942	Mononegavirales
NC_030689	Mononegavirales
NC_018629	Mononegavirales
NC_034540	Mononegavirales
NC_028266	Mononegavirales
NC_030691	Mononegavirales
NC_034549	Mononegavirales
NC_002526	Mononegavirales
NC_001608	Mononegavirales
NC_000855	Mononegavirales
NC_034543	Mononegavirales
NC_029642	Mononegavirales
NC_024296	Mononegavirales
NC_030701	Mononegavirales
NC_027892	Mononegavirales
NC_036390	Mononegavirales
